"","long","lat","city"
"117","-73.7845651","43.0831301","Saratoga Springs,New York"
"118","-90.5151342","41.5067003","Moline,Illinois"
"119","-98.2630684","26.1003547","Hidalgo,Texas"
"120","-92.0198427","30.2240897","Lafayette,Louisiana"
"121","-83.1499322","42.6583661","Rochester Hills,Michigan"
"122","-80.3928423","40.3820132","Burgettstown,Pennsylvania"
"123","-77.8653126","40.8147955","University Park,Pennsylvania"
"124","-117.8265049","33.6845673","Irvine,California"
"125","-92.7385321","44.5683003","Welch,Minnesota"
"126","-73.7562317","42.6525793","Albany,New York"
"127","-97.5164276","35.4675602","Oklahoma City,Oklahoma"
"128","-119.9399029","38.9624079","Stateline,Nevada"
"129","-90.1994042","38.6270025","St. Louis,Missouri"
"130","-83.555212","41.6639383","Toledo,Ohio"
"131","-75.9268747","40.3356483","Reading,Pennsylvania"
"132","-87.5867598","30.2697033","Orange Beach,Alabama"
"133","-97.8202888","30.505198","Cedar Park,Texas"
"134","-121.4230133","39.0098946","Wheatland,California"
"135","-96.6705503","33.1031744","Allen,Texas"
"136","-79.9748103","32.8546197","North Charleston,South Carolina"
"137","-88.5445447","42.6727927","Elkhorn,Wisconsin"
"138","-72.8230736","41.4570108","Wallingford,Connecticut"
"139","-89.0939952","42.2711311","Rockford,Illinois"
"140","-77.0190228","38.7886944","National Harbor ,Maryland"
"141","-91.6656232","41.9778795","Cedar Rapids,Iowa"
"142","-89.9859158","32.2732024","Brandon,Mississippi"
"143","-96.3971233","33.9924186","Durant,Oklahoma"
"144","-106.7636538","32.3199396","Las Cruces,New Mexico"
"145","-77.2816984","42.887535","Canandaigua,New York"
"146","-123.0867536","44.0520691","Eugene,Oregon"
"147","-80.0547626","37.2934681","Salem,Virginia"
"148","-92.3340724","38.9517053","Columbia,Missouri"
"149","-87.5691735","33.2098407","Tuscaloosa,Alabama"
"150","-75.3704579","40.6259316","Bethlehem,Pennsylvania"
"151","-97.396381","27.8005828","Corpus Christi,Texas"
"152","-116.2146068","43.6187102","Boise,Idaho"
"153","-117.9188221","33.6412156","Costa Mesa,California"
"154","-106.4850217","31.7618778","El Paso,Texas"
"155","-87.5710898","37.9715592","Evansville,Indiana"
"156","-90.0022958","34.9918587","Southaven,Mississippi"
"157","-80.7290559","28.2666258","Viera,Florida"
"158","-95.8608333","41.2619444","Council Bluffs,Iowa"
"159","-99.4803241","27.5305671","Laredo,Texas"
"160","-74.8719284","41.6837659","Bethel,New York"
"161","-121.7405167","38.5449065","Davis,California"
"162","-81.3124341","29.9012437","St Augustine,Florida"
"163","-76.6121893","39.2903848","Baltimore,Maryland"
"164","-94.1185366","36.3320196","Rogers,Arkansas"
"165","-68.7778138","44.8011821","Bangor,Maine"
"166","-97.0328547","47.9252568","Grand Forks,North Dakota"
"167","-94.8835754","39.059726",NA
"168","-91.2395807","43.8013556",NA
"169","-89.4012302","43.0730517",NA
"170","-94.8835754","39.059726",NA
"171","-91.2395807","43.8013556",NA
"172","-89.4012302","43.0730517",NA
"173","-94.8835754","39.059726",NA
"174","-91.2395807","43.8013556",NA
"175","-89.4012302","43.0730517",NA
"176","-94.8835754","39.059726",NA
"177","-91.2395807","43.8013556",NA
"178","-89.4012302","43.0730517",NA
"179","-94.8835754","39.059726",NA
"180","-91.2395807","43.8013556",NA
"181","-89.4012302","43.0730517",NA
"182","-73.8648268","40.8447819",NA
"183","-73.8648268","40.8447819",NA
"184","-73.8648268","40.8447819",NA
